"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6401","Test case","chromium","Tue Feb 10 09:01:43 UTC 2026","passed","Tue Feb 10 09:01:49 UTC 2026","Test suite","widgets_/progress_bar.spec.js","",""
"","4426","Simple Droppable","chromium","Tue Feb 10 09:01:06 UTC 2026","passed","Tue Feb 10 09:01:11 UTC 2026","Test Suite : Droppable","interactions/droppable.spec.js","",""
"","1373","Slider","chromium","Tue Feb 10 09:01:51 UTC 2026","passed","Tue Feb 10 09:01:52 UTC 2026","Test suite : Slider","widgets_/slider.spec.js","",""
"","1761","Sortable Grid","chromium","Tue Feb 10 09:01:30 UTC 2026","passed","Tue Feb 10 09:01:32 UTC 2026","Test Suite : Sortable","interactions/sortable.spec.js","",""
"","4435","Prevent Propogation Droppable","chromium","Tue Feb 10 09:01:17 UTC 2026","passed","Tue Feb 10 09:01:21 UTC 2026","Test Suite : Droppable","interactions/droppable.spec.js","",""
"","3356","Container Restricted Draggable","chromium","Tue Feb 10 09:01:00 UTC 2026","passed","Tue Feb 10 09:01:03 UTC 2026","Test Suite : Draggablr","interactions/dragabble.spec.js","",""
"","1595","Simple Alert","chromium","Tue Feb 10 09:00:08 UTC 2026","passed","Tue Feb 10 09:00:10 UTC 2026","Alerts => Test Suite","alerts_frame_windows/alerts.spec.js","",""
"","1362","Browser Windows : New Window Message","chromium","Tue Feb 10 09:00:17 UTC 2026","passed","Tue Feb 10 09:00:19 UTC 2026","ALerts, Frame & Windows => Test suite","alerts_frame_windows/browser_windows.spec.js","",""
"","1388","Selectable","chromium","Tue Feb 10 09:01:29 UTC 2026","passed","Tue Feb 10 09:01:30 UTC 2026","Test Suite : Selectable","interactions/selectable.spec.js","",""
"","1800","Valid Link","chromium","Tue Feb 10 09:00:26 UTC 2026","passed","Tue Feb 10 09:00:28 UTC 2026","Elements Suite: Links Functionality","Elements_demoQa/broken_links_images.spec.js","",""
"","1391","Frames","chromium","Tue Feb 10 09:00:19 UTC 2026","passed","Tue Feb 10 09:00:20 UTC 2026","Test suite : Frames","alerts_frame_windows/frames.spec.js","",""
"","1377","Prompt Box Alert","chromium","Tue Feb 10 09:00:13 UTC 2026","passed","Tue Feb 10 09:00:14 UTC 2026","Alerts => Test Suite","alerts_frame_windows/alerts.spec.js","",""
"","1393","Radio Button Test","chromium","Tue Feb 10 09:00:44 UTC 2026","passed","Tue Feb 10 09:00:45 UTC 2026","Elements Suite: Radio Button Tests","Elements_demoQa/radio_button.spec.js","",""
"","1468","Menu","chromium","Tue Feb 10 09:01:41 UTC 2026","passed","Tue Feb 10 09:01:43 UTC 2026","Test suite : Menu","widgets_/menu.spec.js","",""
"","2613","Tabs","chromium","Tue Feb 10 09:01:52 UTC 2026","passed","Tue Feb 10 09:01:55 UTC 2026","Test Suite : Tabs","widgets_/tabs.spec.js","",""
"","3342","Cursor Style Draggable","chromium","Tue Feb 10 09:01:03 UTC 2026","passed","Tue Feb 10 09:01:06 UTC 2026","Test Suite : Draggablr","interactions/dragabble.spec.js","",""
"","2771","Web Tables","chromium","Tue Feb 10 09:00:48 UTC 2026","passed","Tue Feb 10 09:00:51 UTC 2026","Elements Suite: Web Tables","Elements_demoQa/web_tables.spec.js","",""
"","1433","Text Box Test","chromium","Tue Feb 10 09:00:45 UTC 2026","passed","Tue Feb 10 09:00:46 UTC 2026","Elements Suite: Text_Box","Elements_demoQa/text_box.spec.js","",""
"","1627","Resizeable","chromium","Tue Feb 10 09:01:26 UTC 2026","passed","Tue Feb 10 09:01:28 UTC 2026","Test Suite : Resizeable","interactions/resizeable.spec.js","",""
"","1401","Single Color","chromium","Tue Feb 10 09:01:38 UTC 2026","passed","Tue Feb 10 09:01:39 UTC 2026","Test suite : Auto Complete","widgets_/auto_complete.spec.js","",""
"","1797","Select Menu","chromium","Tue Feb 10 09:01:49 UTC 2026","passed","Tue Feb 10 09:01:51 UTC 2026","Test Suite : Select Menu","widgets_/select_menu.spec.js","",""
"","2118","Student Registration Form","chromium","Tue Feb 10 09:00:51 UTC 2026","passed","Tue Feb 10 09:00:53 UTC 2026","Elements Suite => Form","Form_Application/form_application.spec.js","",""
"","1505","All Button Functionalities Combined","chromium","Tue Feb 10 09:00:29 UTC 2026","passed","Tue Feb 10 09:00:31 UTC 2026","Elements Suite: Buttons Functionality","Elements_demoQa/buttons.spec.js","",""
"","3509","Simple Draggable","chromium","Tue Feb 10 09:00:53 UTC 2026","passed","Tue Feb 10 09:00:56 UTC 2026","Test Suite : Draggablr","interactions/dragabble.spec.js","",""
"","2213","test","chromium","Tue Feb 10 09:01:34 UTC 2026","passed","Tue Feb 10 09:01:36 UTC 2026","Test Suite : Accordian","widgets_/accordian.spec.js","",""
