"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2153","Nested Frames","chromium","Tue Feb 10 10:20:41 UTC 2026","passed","Tue Feb 10 10:20:43 UTC 2026","Test suite : Nested Frames","alerts_frame_windows/nested_frames.spec.js","",""
"","2251","Valid Image - Broken Image Tests","chromium","Tue Feb 10 10:20:43 UTC 2026","passed","Tue Feb 10 10:20:45 UTC 2026","Elements Suite: Links Functionality","Elements_demoQa/broken_links_images.spec.js","",""
"","2043","Prompt Box Alert","chromium","Tue Feb 10 10:20:27 UTC 2026","passed","Tue Feb 10 10:20:29 UTC 2026","Alerts => Test Suite","alerts_frame_windows/alerts.spec.js","",""
"","4083","Web Tables","chromium","Tue Feb 10 10:21:15 UTC 2026","passed","Tue Feb 10 10:21:19 UTC 2026","Elements Suite: Web Tables","Elements_demoQa/web_tables.spec.js","",""
"","1903","Browser Windows : New Window Message","chromium","Tue Feb 10 10:20:34 UTC 2026","passed","Tue Feb 10 10:20:35 UTC 2026","ALerts, Frame & Windows => Test suite","alerts_frame_windows/browser_windows.spec.js","",""
"","2096","Expand checkbox tree","chromium","Tue Feb 10 10:20:52 UTC 2026","passed","Tue Feb 10 10:20:55 UTC 2026","Elements Suite: Check_Box","Elements_demoQa/check_box.spec.js","",""
"","2285","Select Menu","chromium","Tue Feb 10 10:23:16 UTC 2026","passed","Tue Feb 10 10:23:18 UTC 2026","Test Suite : Select Menu","widgets_/select_menu.spec.js","",""
"","2569","Broken Link","chromium","Tue Feb 10 10:20:48 UTC 2026","passed","Tue Feb 10 10:20:50 UTC 2026","Elements Suite: Links Functionality","Elements_demoQa/broken_links_images.spec.js","",""
"","2186","Browser Windows : New Window","chromium","Tue Feb 10 10:20:31 UTC 2026","passed","Tue Feb 10 10:20:33 UTC 2026","ALerts, Frame & Windows => Test suite","alerts_frame_windows/browser_windows.spec.js","",""
"","1905","Sortable Grid","chromium","Tue Feb 10 10:22:47 UTC 2026","passed","Tue Feb 10 10:22:48 UTC 2026","Test Suite : Sortable","interactions/sortable.spec.js","",""
"","2287","Resizeable Free","chromium","Tue Feb 10 10:22:42 UTC 2026","passed","Tue Feb 10 10:22:45 UTC 2026","Test Suite : Resizeable","interactions/resizeable.spec.js","",""
"","2079","All Button Functionalities Combined","chromium","Tue Feb 10 10:20:50 UTC 2026","passed","Tue Feb 10 10:20:52 UTC 2026","Elements Suite: Buttons Functionality","Elements_demoQa/buttons.spec.js","",""
