"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2248","Single Color","chromium","Tue Feb 10 08:37:53 UTC 2026","passed","Tue Feb 10 08:37:55 UTC 2026","Test suite : Auto Complete","widgets_/auto_complete.spec.js","",""
"","4965","Resizeable Free","chromium","Tue Feb 10 08:37:30 UTC 2026","passed","Tue Feb 10 08:37:35 UTC 2026","Test Suite : Resizeable","interactions/resizeable.spec.js","",""
"","7668","test","chromium","Tue Feb 10 08:37:41 UTC 2026","passed","Tue Feb 10 08:37:49 UTC 2026","Test Suite : Accordian","widgets_/accordian.spec.js","",""
"","7980","Dynamic Properties Functionality","chromium","Tue Feb 10 08:35:46 UTC 2026","passed","Tue Feb 10 08:35:54 UTC 2026","Elements Suite: Dynamic Properties Functionality","Elements_demoQa/dynamic_properties.spec.js","",""
"","4945","Confirm Alert","chromium","Tue Feb 10 08:34:57 UTC 2026","passed","Tue Feb 10 08:35:02 UTC 2026","Alerts => Test Suite","alerts_frame_windows/alerts.spec.js","",""
"","5610","Prevent Propogation Droppable","chromium","Tue Feb 10 08:37:13 UTC 2026","passed","Tue Feb 10 08:37:18 UTC 2026","Test Suite : Droppable","interactions/droppable.spec.js","",""
"","3682","Frames","chromium","Tue Feb 10 08:35:15 UTC 2026","passed","Tue Feb 10 08:35:19 UTC 2026","Test suite : Frames","alerts_frame_windows/frames.spec.js","",""
"","2185","Select Menu","chromium","Tue Feb 10 08:38:08 UTC 2026","passed","Tue Feb 10 08:38:10 UTC 2026","Test Suite : Select Menu","widgets_/select_menu.spec.js","",""
"","12617","Tool Tips","chromium","Tue Feb 10 08:38:42 UTC 2026","failed","Tue Feb 10 08:38:55 UTC 2026","Test Suite : Tool Tips","widgets_/tool_tips.spec.js","",""
"","2784","Text Box Test","chromium","Tue Feb 10 08:36:09 UTC 2026","passed","Tue Feb 10 08:36:12 UTC 2026","Elements Suite: Text_Box","Elements_demoQa/text_box.spec.js","",""
"","4213","Multiple Color","chromium","Tue Feb 10 08:37:49 UTC 2026","passed","Tue Feb 10 08:37:53 UTC 2026","Test suite : Auto Complete","widgets_/auto_complete.spec.js","",""
"","2124","Nested Frames","chromium","Tue Feb 10 08:35:22 UTC 2026","passed","Tue Feb 10 08:35:24 UTC 2026","Test suite : Nested Frames","alerts_frame_windows/nested_frames.spec.js","",""
"","4196","Axis Restricted Draggable","chromium","Tue Feb 10 08:36:30 UTC 2026","passed","Tue Feb 10 08:36:34 UTC 2026","Test Suite : Draggablr","interactions/dragabble.spec.js","",""
"","3481","Timer Alert","chromium","Tue Feb 10 08:34:53 UTC 2026","passed","Tue Feb 10 08:34:57 UTC 2026","Alerts => Test Suite","alerts_frame_windows/alerts.spec.js","",""
"","7328","Radio Button Test","chromium","Tue Feb 10 08:36:02 UTC 2026","passed","Tue Feb 10 08:36:09 UTC 2026","Elements Suite: Radio Button Tests","Elements_demoQa/radio_button.spec.js","",""
"","2580","Broken Link","chromium","Tue Feb 10 08:35:33 UTC 2026","passed","Tue Feb 10 08:35:36 UTC 2026","Elements Suite: Links Functionality","Elements_demoQa/broken_links_images.spec.js","",""
"","5105","Revert Droppable","chromium","Tue Feb 10 08:37:19 UTC 2026","passed","Tue Feb 10 08:37:24 UTC 2026","Test Suite : Droppable","interactions/droppable.spec.js","",""
"","6382","Accept Droppable","chromium","Tue Feb 10 08:36:58 UTC 2026","passed","Tue Feb 10 08:37:04 UTC 2026","Test Suite : Droppable","interactions/droppable.spec.js","",""
"","2117","Menu","chromium","Tue Feb 10 08:37:58 UTC 2026","passed","Tue Feb 10 08:38:00 UTC 2026","Test suite : Menu","widgets_/menu.spec.js","",""
"","7598","Simple Alert","chromium","Tue Feb 10 08:34:46 UTC 2026","passed","Tue Feb 10 08:34:53 UTC 2026","Alerts => Test Suite","alerts_frame_windows/alerts.spec.js","",""
"","4230","Cursor Style Draggable","chromium","Tue Feb 10 08:36:43 UTC 2026","passed","Tue Feb 10 08:36:47 UTC 2026","Test Suite : Draggablr","interactions/dragabble.spec.js","",""
"","2107","Selectable","chromium","Tue Feb 10 08:37:35 UTC 2026","passed","Tue Feb 10 08:37:37 UTC 2026","Test Suite : Selectable","interactions/selectable.spec.js","",""
"","2957","Valid Image - Broken Image Tests","chromium","Tue Feb 10 08:35:27 UTC 2026","passed","Tue Feb 10 08:35:30 UTC 2026","Elements Suite: Links Functionality","Elements_demoQa/broken_links_images.spec.js","",""
